1;500.24;9.90;550.49;small
2;2380.46;14.30;914.95;big
4;2267.81;17.40;1366.40;big
5;2281.73;15.70;1157.04;big
6;2706.40;12.50;1062.87;big
7;2022.25;12.00;672.54;big
8;2142.86;9.80;398.69;big
8;2054.65;12.70;559.33;big
10;2028.62;13.40;1562.99;big
11;1658.97;10.20;1429.66;big
11;1674.87;10.10;1278.96;big
12;1878.77;13.90;1093.71;big
13;2242.13;12.10;601.96;big
15;2522.05;15.30;718.31;big
28;2155.36;13.80;922.97;big
29;2177.69;14.10;785.68;big
30;2328.80;14.70;788.82;big
32;2056.40;13.60;785.41;small
33;2113.41;17.40;1470.40;big
34;2037.58;16.30;1334.18;big
35;2143.85;17.80;1337.26;big
36;1903.86;11.20;1546.38;big
37;1725.25;9.60;1555.18;big
37;1636.43;11.50;1564.56;big
37;1752.10;13.80;1488.18;big
39;2195.04;16.30;1018.52;big
40;2134.13;17.20;1111.31;big
41;2219.60;15.60;1261.67;big
42;2462.68;19.60;1029.67;big
43;2404.00;15.35;1092.00;big
44;2597.60;13.40;1090.75;big
45;2616.40;14.30;898.36;big
46;2415.71;15.30;729.11;big
47;2643.03;12.70;729.68;big
48;2487.28;14.60;471.69;big
48;2424.71;13.60;564.16;big
49;2623.75;12.80;538.26;big
50;2273.44;10.30;493.57;big
51;1839.42;10.80;827.30;big
51;1751.85;10.60;924.46;big
52;1999.36;13.70;848.02;small
53;1700.93;11.10;1027.25;big
53;1668.92;12.30;1123.58;big
53;1686.56;11.10;1216.95;big
54;1774.44;14.00;1161.52;big
54;1792.67;13.10;1035.94;big
54;1829.25;11.90;949.71;big
56;1969.16;15.00;975.57;big
57;2010.74;15.80;1081.10;big
58;1920.00;12.95;1419.00;big
58;1755.42;12.10;1391.17;big
59;1908.80;14.60;1306.55;big
59;1803.96;14.30;1286.16;big
60;1804.82;13.10;1782.96;big
60;1811.53;13.30;1672.60;big
60;1812.84;14.10;1618.06;big
61;1394.03;9.60;1891.57;big
61;1365.34;10.70;1967.54;big
61;1627.99;13.80;1800.17;big
61;1689.47;11.00;1673.26;big
62;1546.51;12.10;2004.38;big
62;1704.73;12.00;2011.24;big
62;1795.95;13.60;1886.83;big
62;1618.76;13.30;1891.21;big
62;1809.80;13.60;1998.91;big
